id,ground_truth_action,ground_truth_product,ground_truth_quantity,tier_0_clean,tier_1_lexical,tier_2_conversational,tier_3_cognitive
cmd_0274,update,toothbrush,8,Update toothbrush to 8.,update toothbrush to 8 rn,"Umm, could you go ahead and update 8 toothbrush?","Put 11 toothbrush in there... actually no, update 8 instead."
cmd_0275,add,fish flakes,8,Add 8 fish flakes.,add 8 fish flakes pls,"Alright, so I also want to add 8 fish flakes.","Add fish flakes, let's say 6 of them... wait, double check that, just do 8."
cmd_0276,add,shampoo,3,Add 3 shampoo.,add 3 shampoo rn,"Alright, so I also want to add 3 shampoo.","Add shampoo, let's say 6 of them... wait, double check that, just do 3."
cmd_0277,update,paper towels,5,Update paper towels to 5.,update paper twls to 5 pls,"Umm, could you go ahead and update 5 paper towels?","Update 8 paper towels... wait, actually make it 5."
cmd_0278,add,ground beef,2,Add 2 ground beef.,add 2 ground beef pls,"I was thinking, maybe add 2 ground beef to the list.","Add ground beef, let's say 4 of them... wait, double check that, just do 2."
cmd_0279,add,usb-c cable,5,Add 5 usb-c cable.,add 5 usb-c cable,"I was thinking, maybe add 5 usb-c cable to the list.","Add 4 usb-c cable... wait, actually make it 5."
cmd_0280,update,pasta,5,Update pasta to 5.,update psta to 5 rn,"Oh, I almost forgot, please update 5 pasta.","Put 4 pasta in there... actually no, update 5 instead."
cmd_0281,remove,bird seed,8,Remove 8 bird seed.,remove 8 bird seed pls,"Alright, so I also want to remove 8 bird seed.","Remove bird seed, let's say 7 of them... wait, double check that, just do 8."
cmd_0282,update,tomato sauce,9,Update tomato sauce to 9.,update tomato sauce to 9 rn,"Oh, I almost forgot, please update 9 tomato sauce.","Update 12 tomato sauce... wait, actually make it 9."
cmd_0283,add,wireless mouse,4,Add 4 wireless mouse.,add 4 wireless mouse rn,"Oh, I almost forgot, please add 4 wireless mouse.","Add wireless mouse, let's say 6 of them... wait, double check that, just do 4."
cmd_0284,update,orange juice,1,Update orange juice to 1.,update orange juice to 1,"Oh, I almost forgot, please update 1 orange juice.","Update 2 orange juice... wait, actually make it 1."
cmd_0285,remove,avocado,7,Remove 7 avocado.,rmve 7 avocado pls,"I was thinking, maybe remove 7 avocado to the list.","Remove 9 avocado... wait, actually make it 7."
cmd_0286,update,whole milk,8,Update whole milk to 8.,update whole milk to 8,"I was thinking, maybe update 8 whole milk to the list.","Update whole milk, let's say 9 of them... wait, double check that, just do 8."
cmd_0287,remove,dish soap,8,Remove 8 dish soap.,remove 8 dish soap rn,"Umm, could you go ahead and remove 8 dish soap?","I need 9 dish soap, hold on, change that to 8."
cmd_0288,remove,toothbrush,2,Remove 2 toothbrush.,remove 2 toothbrush rn,"I was thinking, maybe remove 2 toothbrush to the list.","Put 3 toothbrush in there... actually no, remove 2 instead."
cmd_0289,add,balsamic vinegar,4,Add 4 balsamic vinegar.,add 4 balsamic vinegar,"I was thinking, maybe add 4 balsamic vinegar to the list.","Add balsamic vinegar, let's say 2 of them... wait, double check that, just do 4."
cmd_0290,remove,running shoes,7,Remove 7 running shoes.,remove 7 running shoes,"I was thinking, maybe remove 7 running shoes to the list.","Remove running shoes, let's say 6 of them... wait, double check that, just do 7."
cmd_0291,update,dish soap,9,Update dish soap to 9.,update dsh soap to 9,"Umm, could you go ahead and update 9 dish soap?","I need 8 dish soap, hold on, change that to 9."
cmd_0292,update,apples,4,Update apples to 4.,update apples to 4 rn,"So, uh, for the apples, let's update 4.","Update 6 apples... wait, actually make it 4."
cmd_0293,remove,dark chocolate bar,10,Remove 10 dark chocolate bar.,remove 10 dark choclte bar pls,"Hey, I changed my mind, can you remove 10 dark chocolate bar?","Remove dark chocolate bar, let's say 11 of them... wait, double check that, just do 10."
cmd_0294,update,black pepper,3,Update black pepper to 3.,update black pepper to 3 pls,"I was thinking, maybe update 3 black pepper to the list.","Update 1 black pepper... wait, actually make it 3."
cmd_0295,remove,socks,4,Remove 4 socks.,remove 4 socks,"Uhm, let me see... could you please remove 4 socks?","Remove socks, let's say 3 of them... wait, double check that, just do 4."
cmd_0296,update,sugar,7,Update sugar to 7.,update sugar to 7,"So, uh, for the sugar, let's update 7.","Put 10 sugar in there... actually no, update 7 instead."
cmd_0297,add,toothbrush,1,Add 1 toothbrush.,add 1 toothbrush rn,"Alright, so I also want to add 1 toothbrush.","I need 4 toothbrush, hold on, change that to 1."
cmd_0298,add,Greek yogurt,1,Add 1 Greek yogurt.,add 1 greek yogurt,"Hey, I changed my mind, can you add 1 Greek yogurt?","Add Greek yogurt, let's say 2 of them... wait, double check that, just do 1."
cmd_0299,remove,fish flakes,4,Remove 4 fish flakes.,rmve 4 fish flakes pls,"Umm, could you go ahead and remove 4 fish flakes?","Remove 3 fish flakes... wait, actually make it 4."
cmd_0300,remove,dog food,1,Remove 1 dog food.,remove 1 dog food rn,"Uhm, let me see... could you please remove 1 dog food?","Remove 3 dog food... wait, actually make it 1."
cmd_0301,update,orange juice,7,Update orange juice to 7.,update ornge juice to 7 pls,"Umm, could you go ahead and update 7 orange juice?","Put 8 orange juice in there... actually no, update 7 instead."
cmd_0302,remove,bananas,9,Remove 9 bananas.,remove 9 bananas pls,"Umm, could you go ahead and remove 9 bananas?","I need 8 bananas, hold on, change that to 9."
cmd_0303,update,green tea,5,Update green tea to 5.,updt green tea to 5 pls,"Uhm, let me see... could you please update 5 green tea?","Update green tea, let's say 8 of them... wait, double check that, just do 5."
cmd_0304,add,apples,9,Add 9 apples.,add 9 apples,"So, uh, for the apples, let's add 9.","Add apples, let's say 10 of them... wait, double check that, just do 9."
cmd_0305,add,bananas,3,Add 3 bananas.,add 3 bananas,"Uhm, let me see... could you please add 3 bananas?","Add 1 bananas... wait, actually make it 3."
cmd_0306,add,eggs,3,Add 3 eggs.,add 3 eggs pls,"I was thinking, maybe add 3 eggs to the list.","I need 1 eggs, hold on, change that to 3."
cmd_0307,remove,usb-c cable,2,Remove 2 usb-c cable.,remove 2 usb-c cable,"I was thinking, maybe remove 2 usb-c cable to the list.","Remove 1 usb-c cable... wait, actually make it 2."
cmd_0308,add,body wash,1,Add 1 body wash.,add 1 bdy wash,"Umm, could you go ahead and add 1 body wash?","I need 3 body wash, hold on, change that to 1."
cmd_0309,update,avocado,3,Update avocado to 3.,update avocado to 3 pls,"I was thinking, maybe update 3 avocado to the list.","Update 4 avocado... wait, actually make it 3."
cmd_0310,update,toothbrush,9,Update toothbrush to 9.,update toothbrush to 9,"Umm, could you go ahead and update 9 toothbrush?","Update 12 toothbrush... wait, actually make it 9."
cmd_0311,remove,toothpaste,4,Remove 4 toothpaste.,remove 4 toothpaste pls,"Oh, I almost forgot, please remove 4 toothpaste.","Remove 7 toothpaste... wait, actually make it 4."
cmd_0312,add,conditioner,3,Add 3 conditioner.,add 3 conditioner pls,"Oh, I almost forgot, please add 3 conditioner.","I need 5 conditioner, hold on, change that to 3."
cmd_0313,add,laundry detergent,5,Add 5 laundry detergent.,add 5 laundry detergent pls,"Alright, so I also want to add 5 laundry detergent.","Add laundry detergent, let's say 7 of them... wait, double check that, just do 5."
cmd_0314,add,tomato sauce,8,Add 8 tomato sauce.,add 8 tomato sauc,"Umm, could you go ahead and add 8 tomato sauce?","Put 9 tomato sauce in there... actually no, add 8 instead."
cmd_0315,update,toothpaste,8,Update toothpaste to 8.,update toothpaste to 8,"Umm, could you go ahead and update 8 toothpaste?","Update toothpaste, let's say 11 of them... wait, double check that, just do 8."
cmd_0316,update,toothpaste,6,Update toothpaste to 6.,update tothpast to 6,"Uhm, let me see... could you please update 6 toothpaste?","Update toothpaste, let's say 5 of them... wait, double check that, just do 6."
cmd_0317,add,dog food,7,Add 7 dog food.,add 7 dog food,"Oh, I almost forgot, please add 7 dog food.","I need 6 dog food, hold on, change that to 7."
cmd_0318,add,fish flakes,7,Add 7 fish flakes.,add 7 fish flkes,"Alright, so I also want to add 7 fish flakes.","Add 5 fish flakes... wait, actually make it 7."
cmd_0319,update,sugar,10,Update sugar to 10.,update sugar to 10,"Hey, I changed my mind, can you update 10 sugar?","Update sugar, let's say 8 of them... wait, double check that, just do 10."
cmd_0320,update,tofu,10,Update tofu to 10.,update tofu to 10,"So, uh, for the tofu, let's update 10.","I need 12 tofu, hold on, change that to 10."
cmd_0321,remove,salt,3,Remove 3 salt.,rmv 3 salt,"Umm, could you go ahead and remove 3 salt?","Put 2 salt in there... actually no, remove 3 instead."
cmd_0322,add,frozen pizza,5,Add 5 frozen pizza.,add 5 frzn pzz,"Umm, could you go ahead and add 5 frozen pizza?","Add frozen pizza, let's say 7 of them... wait, double check that, just do 5."
cmd_0323,update,bird seed,9,Update bird seed to 9.,update bird seed to 9 pls,"I was thinking, maybe update 9 bird seed to the list.","Put 7 bird seed in there... actually no, update 9 instead."
cmd_0324,remove,fish flakes,3,Remove 3 fish flakes.,remove 3 fish flakes pls,"Umm, could you go ahead and remove 3 fish flakes?","I need 1 fish flakes, hold on, change that to 3."
cmd_0325,remove,bananas,10,Remove 10 bananas.,remove 10 bananas,"Hey, I changed my mind, can you remove 10 bananas?","I need 13 bananas, hold on, change that to 10."
cmd_0326,update,toothpaste,1,Update toothpaste to 1.,update toothpaste to 1,"Uhm, let me see... could you please update 1 toothpaste?","Put 2 toothpaste in there... actually no, update 1 instead."
cmd_0327,update,pet treats,8,Update pet treats to 8.,update pet treats to 8,"Oh, I almost forgot, please update 8 pet treats.","I need 7 pet treats, hold on, change that to 8."
cmd_0328,remove,usb-c cable,2,Remove 2 usb-c cable.,remve 2 usb-c cble,"Hey, I changed my mind, can you remove 2 usb-c cable?","Put 4 usb-c cable in there... actually no, remove 2 instead."
cmd_0329,remove,tofu,1,Remove 1 tofu.,remove 1 tofu,"Umm, could you go ahead and remove 1 tofu?","Remove 2 tofu... wait, actually make it 1."
cmd_0330,update,paper towels,9,Update paper towels to 9.,update papr towels to 9 pls,"Hey, I changed my mind, can you update 9 paper towels?","I need 10 paper towels, hold on, change that to 9."
cmd_0331,remove,jeans,4,Remove 4 jeans.,remove 4 jeans,"I was thinking, maybe remove 4 jeans to the list.","Remove 2 jeans... wait, actually make it 4."
cmd_0332,update,dish soap,8,Update dish soap to 8.,update dish soap to 8,"Oh, I almost forgot, please update 8 dish soap.","Update dish soap, let's say 6 of them... wait, double check that, just do 8."
cmd_0333,remove,garlic,5,Remove 5 garlic.,rmv 5 garlic pls,"I was thinking, maybe remove 5 garlic to the list.","I need 4 garlic, hold on, change that to 5."
cmd_0334,update,apples,2,Update apples to 2.,updt appls to 2 rn,"Umm, could you go ahead and update 2 apples?","Update 4 apples... wait, actually make it 2."
cmd_0335,update,toothbrush,3,Update toothbrush to 3.,updte toothbrush to 3,"Alright, so I also want to update 3 toothbrush.","I need 5 toothbrush, hold on, change that to 3."
cmd_0336,add,trash bags,2,Add 2 trash bags.,add 2 trash bags,"Uhm, let me see... could you please add 2 trash bags?","Add 3 trash bags... wait, actually make it 2."
cmd_0337,remove,toothbrush,5,Remove 5 toothbrush.,remove 5 toothbrush,"Uhm, let me see... could you please remove 5 toothbrush?","Put 7 toothbrush in there... actually no, remove 5 instead."
cmd_0338,update,laptop sleeve,3,Update laptop sleeve to 3.,update laptop sleeve to 3 pls,"Oh, I almost forgot, please update 3 laptop sleeve.","Update 4 laptop sleeve... wait, actually make it 3."
cmd_0339,update,chicken breast,3,Update chicken breast to 3.,updat chicken breast to 3,"Alright, so I also want to update 3 chicken breast.","Put 6 chicken breast in there... actually no, update 3 instead."
cmd_0340,add,usb-c cable,4,Add 4 usb-c cable.,add 4 sb-c cable pls,"Oh, I almost forgot, please add 4 usb-c cable.","Add usb-c cable, let's say 7 of them... wait, double check that, just do 4."
cmd_0341,update,chicken breast,2,Update chicken breast to 2.,update chickn breast to 2 rn,"Umm, could you go ahead and update 2 chicken breast?","Put 4 chicken breast in there... actually no, update 2 instead."
cmd_0342,remove,tomato sauce,8,Remove 8 tomato sauce.,remove 8 tomato sc pls,"So, uh, for the tomato sauce, let's remove 8.","Put 7 tomato sauce in there... actually no, remove 8 instead."
cmd_0343,update,bird seed,7,Update bird seed to 7.,update bird seed to 7,"Alright, so I also want to update 7 bird seed.","Update 10 bird seed... wait, actually make it 7."
cmd_0344,add,conditioner,10,Add 10 conditioner.,add 10 conditioner rn,"I was thinking, maybe add 10 conditioner to the list.","Add 8 conditioner... wait, actually make it 10."
cmd_0345,add,olive oil,1,Add 1 olive oil.,add 1 olive oil pls,"So, uh, for the olive oil, let's add 1.","Add olive oil, let's say 4 of them... wait, double check that, just do 1."
cmd_0346,update,pet treats,3,Update pet treats to 3.,update pet treats to 3,"Alright, so I also want to update 3 pet treats.","Update 4 pet treats... wait, actually make it 3."
cmd_0347,update,t-shirt,10,Update t-shirt to 10.,update t-shirt to 10,"Oh, I almost forgot, please update 10 t-shirt.","Update t-shirt, let's say 9 of them... wait, double check that, just do 10."
cmd_0348,remove,gluten-free bread,4,Remove 4 gluten-free bread.,remove 4 gluten-free bread,"Oh, I almost forgot, please remove 4 gluten-free bread.","Remove gluten-free bread, let's say 5 of them... wait, double check that, just do 4."
cmd_0349,remove,black pepper,1,Remove 1 black pepper.,rmov 1 black pepper,"Alright, so I also want to remove 1 black pepper.","I need 3 black pepper, hold on, change that to 1."
cmd_0350,update,conditioner,2,Update conditioner to 2.,update conditioner to 2,"Alright, so I also want to update 2 conditioner.","Update 4 conditioner... wait, actually make it 2."
cmd_0351,update,eggs,8,Update eggs to 8.,updat eggs to 8 rn,"Hey, I changed my mind, can you update 8 eggs?","I need 10 eggs, hold on, change that to 8."
cmd_0352,update,orange juice,8,Update orange juice to 8.,update orange juice to 8 pls,"Hey, I changed my mind, can you update 8 orange juice?","Put 11 orange juice in there... actually no, update 8 instead."
cmd_0353,add,shampoo,9,Add 9 shampoo.,add 9 shampo,"Uhm, let me see... could you please add 9 shampoo?","Add 10 shampoo... wait, actually make it 9."
cmd_0354,add,salt,10,Add 10 salt.,add 10 slt,"Oh, I almost forgot, please add 10 salt.","I need 9 salt, hold on, change that to 10."
cmd_0355,add,cat litter,6,Add 6 cat litter.,add 6 cat litter pls,"Uhm, let me see... could you please add 6 cat litter?","Add cat litter, let's say 5 of them... wait, double check that, just do 6."
cmd_0356,add,tofu,2,Add 2 tofu.,add 2 tofu,"Oh, I almost forgot, please add 2 tofu.","Add 4 tofu... wait, actually make it 2."
cmd_0357,remove,toothpaste,3,Remove 3 toothpaste.,remove 3 tthpaste,"Alright, so I also want to remove 3 toothpaste.","Remove toothpaste, let's say 2 of them... wait, double check that, just do 3."
cmd_0358,remove,dish soap,10,Remove 10 dish soap.,remove 10 dish soap rn,"Oh, I almost forgot, please remove 10 dish soap.","Remove 9 dish soap... wait, actually make it 10."
cmd_0359,remove,tofu,9,Remove 9 tofu.,remove 9 tofu,"Uhm, let me see... could you please remove 9 tofu?","Remove 12 tofu... wait, actually make it 9."
cmd_0360,remove,conditioner,4,Remove 4 conditioner.,remove 4 conditioner pls,"I was thinking, maybe remove 4 conditioner to the list.","I need 7 conditioner, hold on, change that to 4."
cmd_0361,remove,garlic,7,Remove 7 garlic.,remove 7 garlic rn,"Umm, could you go ahead and remove 7 garlic?","Remove garlic, let's say 10 of them... wait, double check that, just do 7."
cmd_0362,add,sponge,9,Add 9 sponge.,add 9 sponge,"I was thinking, maybe add 9 sponge to the list.","Add 8 sponge... wait, actually make it 9."
cmd_0363,update,laptop sleeve,8,Update laptop sleeve to 8.,update laptop slv to 8 pls,"Alright, so I also want to update 8 laptop sleeve.","Update 6 laptop sleeve... wait, actually make it 8."
cmd_0364,add,pasta,10,Add 10 pasta.,add 10 pasta pls,"Uhm, let me see... could you please add 10 pasta?","Add pasta, let's say 12 of them... wait, double check that, just do 10."
cmd_0365,update,conditioner,9,Update conditioner to 9.,update conditioner to 9 pls,"Alright, so I also want to update 9 conditioner.","Update 11 conditioner... wait, actually make it 9."
cmd_0366,add,toothpaste,9,Add 9 toothpaste.,add 9 toothpaste rn,"Hey, I changed my mind, can you add 9 toothpaste?","I need 7 toothpaste, hold on, change that to 9."
cmd_0367,add,conditioner,1,Add 1 conditioner.,add 1 conditioner,"Alright, so I also want to add 1 conditioner.","Put 4 conditioner in there... actually no, add 1 instead."
cmd_0368,update,whole milk,2,Update whole milk to 2.,update whole milk to 2,"Hey, I changed my mind, can you update 2 whole milk?","Put 5 whole milk in there... actually no, update 2 instead."
cmd_0369,remove,coffee beans,10,Remove 10 coffee beans.,remv 10 coffee bans,"So, uh, for the coffee beans, let's remove 10.","Remove coffee beans, let's say 12 of them... wait, double check that, just do 10."
cmd_0370,update,pasta,4,Update pasta to 4.,update pasta to 4 rn,"Uhm, let me see... could you please update 4 pasta?","Update 5 pasta... wait, actually make it 4."
cmd_0371,remove,shampoo,4,Remove 4 shampoo.,remove 4 shampoo,"Uhm, let me see... could you please remove 4 shampoo?","Put 5 shampoo in there... actually no, remove 4 instead."
cmd_0372,remove,apples,7,Remove 7 apples.,remove 7 pples,"So, uh, for the apples, let's remove 7.","Put 6 apples in there... actually no, remove 7 instead."
cmd_0373,remove,bird seed,4,Remove 4 bird seed.,remove 4 bird seed,"So, uh, for the bird seed, let's remove 4.","Remove 3 bird seed... wait, actually make it 4."
cmd_0374,add,apples,8,Add 8 apples.,add 8 apples pls,"Alright, so I also want to add 8 apples.","I need 9 apples, hold on, change that to 8."
cmd_0375,remove,ground beef,5,Remove 5 ground beef.,remove 5 ground beef pls,"Umm, could you go ahead and remove 5 ground beef?","Remove 4 ground beef... wait, actually make it 5."
cmd_0376,update,sugar,8,Update sugar to 8.,update sugr to 8 pls,"Umm, could you go ahead and update 8 sugar?","I need 10 sugar, hold on, change that to 8."
cmd_0377,update,whole milk,1,Update whole milk to 1.,update whole milk to 1 pls,"So, uh, for the whole milk, let's update 1.","I need 3 whole milk, hold on, change that to 1."
cmd_0378,remove,usb-c cable,8,Remove 8 usb-c cable.,remove 8 usb-c cable,"Umm, could you go ahead and remove 8 usb-c cable?","Put 7 usb-c cable in there... actually no, remove 8 instead."
cmd_0379,add,cat litter,5,Add 5 cat litter.,add 5 cat lttr rn,"Alright, so I also want to add 5 cat litter.","Put 7 cat litter in there... actually no, add 5 instead."
cmd_0380,update,balsamic vinegar,9,Update balsamic vinegar to 9.,update balsamic vinegar to 9,"Uhm, let me see... could you please update 9 balsamic vinegar?","I need 8 balsamic vinegar, hold on, change that to 9."
cmd_0381,remove,shampoo,2,Remove 2 shampoo.,remove 2 shampoo,"So, uh, for the shampoo, let's remove 2.","Remove 3 shampoo... wait, actually make it 2."
cmd_0382,remove,orange juice,6,Remove 6 orange juice.,remove 6 rnge juice,"Alright, so I also want to remove 6 orange juice.","Remove 8 orange juice... wait, actually make it 6."
cmd_0383,remove,frozen pizza,5,Remove 5 frozen pizza.,remove 5 frozen pizza,"Umm, could you go ahead and remove 5 frozen pizza?","Remove frozen pizza, let's say 8 of them... wait, double check that, just do 5."
cmd_0384,add,apples,3,Add 3 apples.,add 3 apples,"Alright, so I also want to add 3 apples.","Add apples, let's say 4 of them... wait, double check that, just do 3."
cmd_0385,remove,bird seed,10,Remove 10 bird seed.,remove 10 brd seed,"Hey, I changed my mind, can you remove 10 bird seed?","Remove bird seed, let's say 9 of them... wait, double check that, just do 10."
cmd_0386,add,bananas,2,Add 2 bananas.,add 2 bnns pls,"Umm, could you go ahead and add 2 bananas?","Add 1 bananas... wait, actually make it 2."
cmd_0387,update,trash bags,5,Update trash bags to 5.,update trash bags to 5 pls,"Uhm, let me see... could you please update 5 trash bags?","I need 6 trash bags, hold on, change that to 5."
cmd_0388,remove,black pepper,9,Remove 9 black pepper.,remove 9 blck pepper,"I was thinking, maybe remove 9 black pepper to the list.","Remove black pepper, let's say 12 of them... wait, double check that, just do 9."
cmd_0389,update,shampoo,9,Update shampoo to 9.,update shampoo to 9,"So, uh, for the shampoo, let's update 9.","I need 8 shampoo, hold on, change that to 9."
cmd_0390,add,whole milk,9,Add 9 whole milk.,add 9 whole milk pls,"Alright, so I also want to add 9 whole milk.","I need 11 whole milk, hold on, change that to 9."
cmd_0391,add,pet treats,7,Add 7 pet treats.,add 7 pet treats pls,"Umm, could you go ahead and add 7 pet treats?","Add pet treats, let's say 9 of them... wait, double check that, just do 7."
cmd_0392,add,AA batteries,7,Add 7 AA batteries.,add 7 aa batteries,"Umm, could you go ahead and add 7 AA batteries?","I need 8 AA batteries, hold on, change that to 7."
cmd_0393,update,bird seed,9,Update bird seed to 9.,update bird seed to 9,"So, uh, for the bird seed, let's update 9.","Update bird seed, let's say 12 of them... wait, double check that, just do 9."
cmd_0394,add,paper towels,1,Add 1 paper towels.,add 1 pper towels pls,"Uhm, let me see... could you please add 1 paper towels?","Put 3 paper towels in there... actually no, add 1 instead."
cmd_0395,remove,green tea,5,Remove 5 green tea.,remove 5 green tea pls,"Uhm, let me see... could you please remove 5 green tea?","Remove 4 green tea... wait, actually make it 5."
cmd_0396,remove,pet treats,7,Remove 7 pet treats.,remov 7 pet trats,"I was thinking, maybe remove 7 pet treats to the list.","Put 5 pet treats in there... actually no, remove 7 instead."
cmd_0397,remove,bird seed,2,Remove 2 bird seed.,remove 2 bird seed,"I was thinking, maybe remove 2 bird seed to the list.","Remove 4 bird seed... wait, actually make it 2."
cmd_0398,remove,pasta,5,Remove 5 pasta.,rmve 5 pasta rn,"So, uh, for the pasta, let's remove 5.","Remove 8 pasta... wait, actually make it 5."
cmd_0399,remove,t-shirt,1,Remove 1 t-shirt.,remove 1 t-shirt rn,"Oh, I almost forgot, please remove 1 t-shirt.","Put 3 t-shirt in there... actually no, remove 1 instead."
cmd_0400,add,tomato sauce,2,Add 2 tomato sauce.,add 2 tomato sauce pls,"So, uh, for the tomato sauce, let's add 2.","Add 1 tomato sauce... wait, actually make it 2."
cmd_0401,add,tomato sauce,4,Add 4 tomato sauce.,add 4 tomato sauce,"Uhm, let me see... could you please add 4 tomato sauce?","I need 6 tomato sauce, hold on, change that to 4."
cmd_0402,update,eggs,5,Update eggs to 5.,update eggs to 5 rn,"Hey, I changed my mind, can you update 5 eggs?","I need 8 eggs, hold on, change that to 5."
cmd_0403,remove,cat litter,8,Remove 8 cat litter.,remove 8 cat litter pls,"Hey, I changed my mind, can you remove 8 cat litter?","I need 10 cat litter, hold on, change that to 8."
cmd_0404,remove,garlic,6,Remove 6 garlic.,remove 6 garlic,"Umm, could you go ahead and remove 6 garlic?","Put 7 garlic in there... actually no, remove 6 instead."
cmd_0405,remove,cat litter,2,Remove 2 cat litter.,remove 2 cat litter,"Umm, could you go ahead and remove 2 cat litter?","I need 3 cat litter, hold on, change that to 2."
cmd_0406,remove,conditioner,6,Remove 6 conditioner.,rmov 6 conditioner pls,"Alright, so I also want to remove 6 conditioner.","Remove 5 conditioner... wait, actually make it 6."
cmd_0407,add,ground beef,7,Add 7 ground beef.,add 7 ground beef,"Uhm, let me see... could you please add 7 ground beef?","Put 5 ground beef in there... actually no, add 7 instead."
cmd_0408,update,tomato sauce,2,Update tomato sauce to 2.,update tomato sauce to 2,"Uhm, let me see... could you please update 2 tomato sauce?","I need 5 tomato sauce, hold on, change that to 2."
cmd_0409,update,gluten-free bread,2,Update gluten-free bread to 2.,update glutn-free bread to 2,"Umm, could you go ahead and update 2 gluten-free bread?","Update gluten-free bread, let's say 5 of them... wait, double check that, just do 2."
cmd_0410,update,bananas,10,Update bananas to 10.,update bananas to 10 pls,"Hey, I changed my mind, can you update 10 bananas?","Update bananas, let's say 13 of them... wait, double check that, just do 10."
cmd_0411,update,laundry detergent,3,Update laundry detergent to 3.,update laundry detergent to 3,"Alright, so I also want to update 3 laundry detergent.","I need 5 laundry detergent, hold on, change that to 3."
cmd_0412,update,t-shirt,10,Update t-shirt to 10.,update t-shirt to 10,"Alright, so I also want to update 10 t-shirt.","Update 8 t-shirt... wait, actually make it 10."
cmd_0413,remove,tofu,1,Remove 1 tofu.,remove 1 tofu rn,"Oh, I almost forgot, please remove 1 tofu.","Remove 2 tofu... wait, actually make it 1."
cmd_0414,update,socks,9,Update socks to 9.,update socks to 9 rn,"So, uh, for the socks, let's update 9.","Put 10 socks in there... actually no, update 9 instead."
cmd_0415,add,running shoes,5,Add 5 running shoes.,add 5 running shoes,"Hey, I changed my mind, can you add 5 running shoes?","Add 7 running shoes... wait, actually make it 5."
cmd_0416,update,conditioner,5,Update conditioner to 5.,updte conditioner to 5,"Oh, I almost forgot, please update 5 conditioner.","Put 3 conditioner in there... actually no, update 5 instead."
cmd_0417,update,conditioner,10,Update conditioner to 10.,update conditioner to 10,"Umm, could you go ahead and update 10 conditioner?","I need 9 conditioner, hold on, change that to 10."
cmd_0418,update,body wash,4,Update body wash to 4.,updt body wash to 4,"Hey, I changed my mind, can you update 4 body wash?","I need 3 body wash, hold on, change that to 4."
cmd_0419,add,pasta,10,Add 10 pasta.,add 10 pasta,"I was thinking, maybe add 10 pasta to the list.","Put 9 pasta in there... actually no, add 10 instead."
cmd_0420,remove,chicken breast,4,Remove 4 chicken breast.,remove 4 chckn breast pls,"Oh, I almost forgot, please remove 4 chicken breast.","I need 6 chicken breast, hold on, change that to 4."
cmd_0421,update,ground beef,2,Update ground beef to 2.,update grond beef to 2,"Umm, could you go ahead and update 2 ground beef?","Update ground beef, let's say 1 of them... wait, double check that, just do 2."
cmd_0422,add,laptop sleeve,4,Add 4 laptop sleeve.,add 4 laptop slev pls,"Oh, I almost forgot, please add 4 laptop sleeve.","Add 5 laptop sleeve... wait, actually make it 4."
cmd_0423,remove,body wash,2,Remove 2 body wash.,remove 2 body wash pls,"Umm, could you go ahead and remove 2 body wash?","I need 5 body wash, hold on, change that to 2."
cmd_0424,update,pasta,10,Update pasta to 10.,update psta to 10 pls,"Hey, I changed my mind, can you update 10 pasta?","I need 8 pasta, hold on, change that to 10."
cmd_0425,add,body wash,10,Add 10 body wash.,add 10 body wsh,"So, uh, for the body wash, let's add 10.","Add 8 body wash... wait, actually make it 10."
cmd_0426,remove,conditioner,7,Remove 7 conditioner.,remove 7 conditioner pls,"So, uh, for the conditioner, let's remove 7.","Remove 9 conditioner... wait, actually make it 7."
cmd_0427,add,wireless mouse,9,Add 9 wireless mouse.,add 9 wireless muse rn,"I was thinking, maybe add 9 wireless mouse to the list.","I need 10 wireless mouse, hold on, change that to 9."
cmd_0428,update,winter jacket,4,Update winter jacket to 4.,update winter jacket to 4,"Uhm, let me see... could you please update 4 winter jacket?","I need 7 winter jacket, hold on, change that to 4."
cmd_0429,add,cheddar cheese,6,Add 6 cheddar cheese.,add 6 cheddr cheese rn,"Hey, I changed my mind, can you add 6 cheddar cheese?","Put 9 cheddar cheese in there... actually no, add 6 instead."
cmd_0430,remove,winter jacket,10,Remove 10 winter jacket.,remove 10 winter jckt,"I was thinking, maybe remove 10 winter jacket to the list.","Put 13 winter jacket in there... actually no, remove 10 instead."
cmd_0431,remove,pet treats,3,Remove 3 pet treats.,remove 3 pet trts pls,"Oh, I almost forgot, please remove 3 pet treats.","Remove 2 pet treats... wait, actually make it 3."
cmd_0432,remove,green tea,7,Remove 7 green tea.,remove 7 green tea rn,"Hey, I changed my mind, can you remove 7 green tea?","Put 5 green tea in there... actually no, remove 7 instead."
cmd_0433,add,avocado,10,Add 10 avocado.,add 10 avocado rn,"Uhm, let me see... could you please add 10 avocado?","Add 11 avocado... wait, actually make it 10."
cmd_0434,update,pet treats,8,Update pet treats to 8.,updte pet treats to 8,"So, uh, for the pet treats, let's update 8.","Put 10 pet treats in there... actually no, update 8 instead."
cmd_0435,update,toothpaste,4,Update toothpaste to 4.,update tthpste to 4 pls,"Alright, so I also want to update 4 toothpaste.","Update toothpaste, let's say 2 of them... wait, double check that, just do 4."
cmd_0436,update,paper towels,7,Update paper towels to 7.,update paper towels to 7,"Alright, so I also want to update 7 paper towels.","Update 9 paper towels... wait, actually make it 7."
